# Job started on: Fri Jan 20 18:05:50 CET 2017 .....................................................................................................................................................................................
# FONLL heavy quark hadroproduction cross section, calculated on Fri Jan 20 18:35:52 CET 2017
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = J/psi from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->J/psi) = 0.0116
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 5
# ptmax = 60
# ymin  = -2.4
# ymax  = 2.4
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   5.0000 1.0919e+05 7.8884e+04 1.5548e+05 8.2348e+04 1.5289e+05 9.8206e+04 1.2168e+05 1.0040e+05 1.1797e+05
   5.1375 1.0206e+05 7.3886e+04 1.4512e+05 7.7024e+04 1.4280e+05 9.1988e+04 1.1342e+05 9.3960e+04 1.1015e+05
   5.2750 9.5398e+04 6.9201e+04 1.3539e+05 7.2048e+04 1.3328e+05 8.6165e+04 1.0580e+05 8.7928e+04 1.0287e+05
   5.4125 8.9192e+04 6.4836e+04 1.2637e+05 6.7419e+04 1.2447e+05 8.0724e+04 9.8716e+04 8.2302e+04 9.6083e+04
   5.5500 8.3416e+04 6.0758e+04 1.1796e+05 6.3104e+04 1.1623e+05 7.5644e+04 9.2127e+04 7.7059e+04 8.9772e+04
   5.6875 7.8033e+04 5.6940e+04 1.1021e+05 5.9079e+04 1.0865e+05 7.0888e+04 8.6014e+04 7.2152e+04 8.3903e+04
   5.8250 7.3010e+04 5.3393e+04 1.0296e+05 5.5332e+04 1.0154e+05 6.6456e+04 8.0342e+04 6.7593e+04 7.8439e+04
   5.9625 6.8347e+04 5.0069e+04 9.6218e+04 5.1840e+04 9.4923e+04 6.2315e+04 7.5075e+04 6.3324e+04 7.3370e+04
   6.1000 6.3997e+04 4.6980e+04 8.9955e+04 4.8592e+04 8.8775e+04 5.8452e+04 7.0180e+04 5.9357e+04 6.8649e+04
   6.2375 5.9960e+04 4.4088e+04 8.4115e+04 4.5565e+04 8.3044e+04 5.4845e+04 6.5633e+04 5.5657e+04 6.4252e+04
   6.3750 5.6190e+04 4.1400e+04 7.8700e+04 4.2746e+04 7.7720e+04 5.1481e+04 6.1410e+04 5.2212e+04 6.0181e+04
   6.5125 5.2687e+04 3.8880e+04 7.3660e+04 4.0113e+04 7.2767e+04 4.8337e+04 5.7490e+04 4.8998e+04 5.6376e+04
   6.6500 4.9428e+04 3.6544e+04 6.8978e+04 3.7677e+04 6.8162e+04 4.5414e+04 5.3847e+04 4.5994e+04 5.2850e+04
   6.7875 4.6388e+04 3.4355e+04 6.4628e+04 3.5392e+04 6.3881e+04 4.2676e+04 5.0460e+04 4.3210e+04 4.9567e+04
   6.9250 4.3546e+04 3.2321e+04 6.0568e+04 3.3269e+04 5.9879e+04 4.0124e+04 4.7316e+04 4.0600e+04 4.6504e+04
   7.0625 4.0913e+04 3.0412e+04 5.6799e+04 3.1285e+04 5.6167e+04 3.7746e+04 4.4393e+04 3.8164e+04 4.3662e+04
   7.2000 3.8454e+04 2.8627e+04 5.3289e+04 2.9429e+04 5.2710e+04 3.5519e+04 4.1667e+04 3.5902e+04 4.1006e+04
