# Job started on: Wed Jan 25 15:49:32 CET 2017 ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
# FONLL heavy quark hadroproduction cross section, calculated on Wed Jan 25 17:21:23 CET 2017
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = J/psi from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->J/psi) = 0.0116
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 1
# ptmax = 300
# ymin  = -2.4
# ymax  = 2.4
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   1.0000 3.1517e+05 1.7181e+05 4.7505e+05 1.8931e+05 4.5286e+05 2.5891e+05 3.8628e+05 2.7585e+05 3.5450e+05
   1.2500 3.5229e+05 1.9551e+05 5.2779e+05 2.1472e+05 5.0390e+05 2.9081e+05 4.2943e+05 3.0902e+05 3.9544e+05
   1.5000 3.7155e+05 2.1059e+05 5.5344e+05 2.3038e+05 5.2931e+05 3.0844e+05 4.5031e+05 3.2689e+05 4.1621e+05
   1.7500 3.7561e+05 2.1751e+05 5.5619e+05 2.3699e+05 5.3314e+05 3.1366e+05 4.5217e+05 3.3153e+05 4.1957e+05
   2.0000 3.6749e+05 2.1759e+05 5.4149e+05 2.3606e+05 5.2026e+05 3.0891e+05 4.3941e+05 3.2550e+05 4.0948e+05
   2.2500 3.5078e+05 2.1240e+05 5.1460e+05 2.2945e+05 4.9567e+05 2.9684e+05 4.1656e+05 3.1181e+05 3.8976e+05
   2.5000 3.2840e+05 2.0327e+05 4.8004e+05 2.1866e+05 4.6354e+05 2.7979e+05 3.8732e+05 2.9302e+05 3.6389e+05
   2.7500 3.0299e+05 1.9144e+05 4.4139e+05 2.0520e+05 4.2734e+05 2.5972e+05 3.5484e+05 2.7121e+05 3.3466e+05
   3.0000 2.7620e+05 1.7818e+05 4.0124e+05 1.9024e+05 3.8941e+05 2.3838e+05 3.2132e+05 2.4812e+05 3.0415e+05
   3.2500 2.4952e+05 1.6409e+05 3.6156e+05 1.7458e+05 3.5171e+05 2.1669e+05 2.8838e+05 2.2492e+05 2.7399e+05
   3.5000 2.2388e+05 1.4998e+05 3.2358e+05 1.5904e+05 3.1540e+05 1.9558e+05 2.5717e+05 2.0254e+05 2.4522e+05
   3.7500 1.9987e+05 1.3622e+05 2.8814e+05 1.4407e+05 2.8142e+05 1.7551e+05 2.2817e+05 1.8131e+05 2.1831e+05
